Date,Temperature,Humidity,Pressure,WindSpeed,Rainfall
2020-01-01,17.9,39.8,1017.4,8.4,0.0
2020-01-02,17.0,34.4,1020.3,8.5,1.2
2020-01-03,18.2,39.6,1018.4,6.8,0.0
2020-01-04,19.6,36.4,1018.7,8.5,0.0
2020-01-05,17.0,37.9,1019.0,6.9,0.0
2020-01-06,17.0,43.8,1019.2,7.4,0.0
2020-01-07,19.8,49.3,1018.5,6.8,0.0
2020-01-08,18.6,43.1,1019.1,5.4,0.0
2020-01-09,16.8,35.2,1021.8,8.5,0.0
2020-01-10,18.3,43.5,1020.6,9.4,0.0
2020-01-11,16.9,47.4,1020.3,9.3,0.0
2020-01-12,16.9,38.5,1017.6,10.0,0.0
2020-01-13,18.0,41.0,1016.7,9.0,0.0
2020-01-14,14.9,41.9,1020.4,7.3,0.0
2020-01-15,15.2,38.1,1020.1,10.1,0.0
2020-01-16,17.0,45.4,1021.3,5.7,0.0
2020-01-17,16.4,41.7,1017.1,6.7,0.0
2020-01-18,18.5,44.6,1017.8,6.6,0.0
2020-01-19,16.7,38.2,1014.9,10.7,0.0
2020-01-20,16.0,40.6,1017.4,10.5,0.0
2020-01-21,20.4,46.6,1020.1,9.6,0.0
2020-01-22,17.9,41.3,1017.1,10.8,0.0
2020-01-23,18.5,52.0,1019.3,6.9,0.0
2020-01-24,16.3,41.6,1017.5,9.4,0.0
2020-01-25,17.7,44.9,1018.5,8.5,0.0
2020-01-26,18.8,48.6,1015.5,10.5,0.0
2020-01-27,16.9,37.1,1017.9,8.6,0.0
2020-01-28,19.3,35.6,1011.7,8.1,0.0
2020-01-29,17.9,37.0,1017.2,10.0,0.0
2020-01-30,18.5,51.1,1014.3,10.7,28.3
2020-01-31,18.1,42.3,1019.9,7.7,0.0
2020-02-01,21.9,58.1,1019.0,8.9,0.0
2020-02-02,19.2,42.7,1018.3,7.0,0.0
2020-02-03,17.7,46.7,1020.3,4.2,0.0
2020-02-04,20.6,53.7,1015.3,9.6,0.0
2020-02-05,17.7,56.3,1020.6,10.5,0.0
2020-02-06,19.9,56.8,1018.9,9.8,0.0
2020-02-07,16.8,52.8,1016.5,5.5,0.0
2020-02-08,17.8,52.1,1019.2,8.7,0.0
2020-02-09,20.2,50.3,1014.6,5.0,0.0
2020-02-10,21.1,51.5,1015.1,12.3,0.0
2020-02-11,20.4,45.1,1015.4,7.4,0.0
2020-02-12,20.1,44.0,1015.5,12.1,0.0
2020-02-13,19.9,48.4,1014.4,11.6,0.0
2020-02-14,18.2,47.8,1018.8,7.9,0.0
2020-02-15,19.5,46.7,1015.8,7.5,0.0
2020-02-16,20.0,52.7,1016.9,10.5,0.0
2020-02-17,22.4,54.3,1015.0,8.2,0.0
2020-02-18,21.4,50.3,1012.4,10.2,8.5
2020-02-19,18.4,57.5,1016.5,9.1,22.6
2020-02-20,21.7,44.7,1012.0,6.5,0.0
2020-02-21,20.7,49.8,1015.6,5.7,0.0
2020-02-22,20.4,47.5,1013.0,10.7,0.0
2020-02-23,22.5,42.0,1019.6,9.1,0.0
2020-02-24,23.2,51.2,1017.3,9.2,0.0
2020-02-25,23.2,51.4,1015.6,11.8,0.0
2020-02-26,20.7,59.9,1017.8,12.8,5.8
2020-02-27,21.6,55.8,1013.5,10.0,0.0
2020-02-28,22.7,47.8,1016.2,9.9,0.0
2020-02-29,23.8,62.5,1015.4,11.7,0.0
2020-03-01,21.7,59.7,1015.5,8.0,2.4
2020-03-02,22.3,56.8,1017.4,11.2,0.0
2020-03-03,21.0,53.1,1016.2,11.9,0.0
2020-03-04,21.0,49.8,1015.2,12.3,0.0
2020-03-05,24.2,53.0,1011.2,7.1,8.4
2020-03-06,25.1,60.7,1012.5,9.5,0.0
2020-03-07,23.1,65.0,1014.1,9.4,10.8
2020-03-08,24.9,63.6,1014.4,11.4,0.0
2020-03-09,24.0,53.8,1011.9,12.2,0.0
2020-03-10,22.7,51.0,1018.9,14.3,0.0
2020-03-11,24.3,57.6,1017.0,10.4,11.3
2020-03-12,26.2,48.4,1015.0,10.5,0.0
2020-03-13,24.0,59.2,1013.9,13.8,4.3
2020-03-14,26.5,57.2,1013.2,12.2,0.0
2020-03-15,20.4,56.0,1011.6,14.2,0.0
2020-03-16,25.7,50.7,1013.6,12.3,0.0
2020-03-17,24.7,61.5,1013.8,9.5,0.0
2020-03-18,24.3,56.6,1010.7,9.2,0.0
2020-03-19,25.0,53.8,1013.8,8.8,0.0
2020-03-20,22.0,45.6,1012.7,13.3,0.0
2020-03-21,24.8,60.2,1009.1,14.4,0.0
2020-03-22,25.8,69.5,1011.1,15.8,0.0
2020-03-23,27.6,69.3,1011.9,13.9,0.0
2020-03-24,24.8,59.1,1016.4,14.6,7.3
2020-03-25,24.5,58.7,1013.6,11.2,0.0
2020-03-26,25.1,64.4,1009.7,10.1,6.4
2020-03-27,27.3,57.4,1013.3,14.2,0.0
